"agency_zuul_uid_sha1","agency_zuul_uid","name"
"63cfc4872d5ac6d69687d28ac1e5ac226b0e9b0d","AGCY-773b1eab-a80c-40c4-a6dc-3d516db90e74","Miami University Middletown"
"39390ceccd2bd765b21c23b7a66be5d517e39b76","AGCY-f8c6258e-9b6e-43c7-a77c-25685bb4b112","QA Zara"
"e5e65377d8178822e13fe6883f48d311ff74df1e","AGCY-59f6b215-d7ac-4ba6-8cbc-4de66995bd7e","BYU"
"eadeedb15753ffa97618c45d944359f8ae65d91a","AGCY-5c1c5c79-8e85-4c03-bfcb-5bb2da961223","Australian Department of Immigration and Border Protection"
"735895a7cda647194d70f5f8ebd70f3fcda52b35","AGCY-6898684e-74f6-43e0-81d1-b421c01f7c5a","Publicis NY"
"a9323aa6865368f4ccee5fd59e8247a48c2ce22a","AGCY-95db51fc-c20e-4fe4-9284-2264fcd7b0e1","TBWA Sydney"
"463140f781bfc57c004009f00882aa0c9e8fcad5","AGCY-9c50edb1-9044-4ac6-a49d-150cbadc2352","AGGR-LA "
"080075bf1dfd9eeafa6e4e340e9979d8690f1768","AGCY-c16fdfca-a561-4b04-9b6f-497b2938cb3e","Crestview Strategy"
"62776e954a63535731556aff555abf14c1362512","AGCY-9ce10b75-826f-4473-8402-47aeb0b1258f","BASK Digital Media"
"8dcc6b843a55ab249623ffa37341bdcaab7cd8cf","AGCY-f11c8c95-a032-47a5-916f-1afc54324ee5","Australian Tax Office (ATO)"
"7de8b582123784ef268a50ec9a818723fdb334e0","AGCY-50239c77-8067-4943-b4f4-eb0170d9ec1d","Blue Collar"
"33bd1b026326fc25aa402275f74dd2cbb8034ebf","AGCY-b356da6c-5e6d-4ccf-a452-e4fd9ce292f0","PCA Skin"
"48200618848ba4a29a46cc381677594328ae1fe7","AGCY-ec4eb5aa-fd6a-44d1-80bd-343c7893a141","Fenton AU"
"5b8bbb0bf62b40eee5cf64a0f468f5458bbdda04","AGCY-6c0604aa-075a-4412-9587-c9aa61c585e4","Grayling"
"46c8121c1d72ef42143cf70f8c0f6bac141a97ee","AGCY-87d14cf2-f479-4dd2-8d13-4ec30ab9fe5b","Outfront Media"
"6f01b220e1e17be95ebfdaf88cab7c13231c0ff6","AGCY-38679825-a30d-4048-b9a2-f088a2ed8168","Influential"
"e96f469ced44e5fa3a03bef7d60f5b711958e426","AGCY-2348e993-8fc1-473f-ae67-d617989ca965","Televisa"
"76a724e96de9c2d0fdd0164fa28be44c1b481136","AGCY-4f8f419f-9589-401f-89fb-93db75e1edc1","Fenton"
"654234da8ec274204bc08e4d24c4eb7a3f0b8193","AGCY-03303555-83c8-488a-be74-b418e56f1fe3","University of Louisville"
"a9b618cef5b805ca7689b246b262cc76a84a29fc","AGCY-a7fd2684-6b81-44d2-8097-9747f9654249","Business Wire Demo"
